,battle_id,url
48,LAM0ROTB7V,https://hera-public-files.azureedge.net/public-images/ibraHz/45d8fe2e575d4f77b8e7ac897d011cfb.original.jpg
49,LAM0RGJWVE,https://hera-public-files.azureedge.net/public-images/mhmooob/d081b9df7e614e0aab808056a598c495.original.jpg
50,35ZYHZKDEU,https://hera-public-files.azureedge.net/public-images/FoLrT/486691acc11548bd902d431940f46832.original.jpg
51,3AB6FC95D6,https://hera-public-files.azureedge.net/public-images/Peen_Killr1/67e124d019154b6992c181456764cc4d.original.jpg
52,3AB6FC95D6,https://hera-public-files.azureedge.net/public-images/Peen_Killr1/99756f56062c49d0b69fad9899a0e314.original.jpg
53,33E67BBDEF,https://hera-public-files.azureedge.net/public-images/ahmad305/f18f328b14424c52b7361c61e96df43b.original.jpg
54,33E67BBDEF,https://hera-public-files.azureedge.net/public-images/ahmad305/2d3f3494f1f74cc383926976bb1834eb.original.jpg
55,37EADEEE37,https://hera-public-files.azureedge.net/public-images/fnon2/2f83c8718506493cb1a6bcdbdc92b030.original.jpg
56,35ED6070EC,https://hera-public-files.azureedge.net/public-images/WoRzSuL/82d3d1cab8494c928fbe2fdcc774a6cb.original.jpg
57,35ED6070EC,https://hera-public-files.azureedge.net/public-images/WoRzSuL/86ab4c06f19647669e498c414ea29377.original.jpg
58,37942714AF,https://hera-public-files.azureedge.net/public-images/Eyadro653/1b89c403416549649b1e9759b871032f.original.jpg
59,3A8AE226CA,https://hera-public-files.azureedge.net/public-images/iA1A/fb148ae3d8ba4a54a81c4346be44e0c0.original.jpg
60,36BDDA74F7,https://hera-public-files.azureedge.net/public-images/Zzoro/85f3a5e5adf5403da936957e492dc108.original.mov
61,32AEB037B1,https://hera-public-files.azureedge.net/public-images/Omarxsa/59dfd0acda46499fa5a3eceb42d2df84.original.mov
62,32AEB037B1,https://hera-public-files.azureedge.net/public-images/Omarxsa/0d6c0017185c45469b0a48fe8b3b8020.original.mov
63,3308D75467,https://hera-public-files.azureedge.net/public-images/vlMeDo/e57c72a9eceb4c09a37e98eb58454de4.original.jpg
64,3CAF3195A6,https://hera-public-files.azureedge.net/public-images/xZaxyz/a154c115bbc64e0baa05bb80f8d2c367.original.jpg
65,3CAF3195A6,https://hera-public-files.azureedge.net/public-images/xZaxyz/80ce4d1e55a24828b7f44ea9643422a6.original.jpg
66,LMKMLFUXOK,https://hera-public-files.azureedge.net/public-images/pGnDe/ba51f5a60c8a469b82a3b96687275f36.original.jpg
